Date,Subscription status,Views,source
2025-07-21,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-07-22,Not subscribed,2,Subscription Status_Ai-talks-CA
2025-07-23,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-07-24,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-07-25,Not subscribed,2,Subscription Status_Ai-talks-CA
2025-07-26,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-07-27,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-07-28,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-07-29,Not subscribed,1,Subscription Status_Ai-talks-CA
2025-07-30,Not subscribed,1,Subscription Status_Ai-talks-CA
2025-07-31,Not subscribed,4,Subscription Status_Ai-talks-CA
2025-08-01,Not subscribed,1,Subscription Status_Ai-talks-CA
2025-08-02,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-08-03,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-08-04,Not subscribed,3,Subscription Status_Ai-talks-CA
2025-08-05,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-08-06,Not subscribed,5,Subscription Status_Ai-talks-CA
2025-08-07,Not subscribed,3,Subscription Status_Ai-talks-CA
2025-08-08,Not subscribed,1,Subscription Status_Ai-talks-CA
2025-08-09,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-08-10,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-08-11,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-08-12,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-08-13,Not subscribed,3,Subscription Status_Ai-talks-CA
2025-08-14,Not subscribed,0,Subscription Status_Ai-talks-CA
2025-08-15,Not subscribed,0,Subscription Status_Ai-talks-CA
